"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-18",,,,,"0.12",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-19",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-20",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-21",,,,,"1.01",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-22",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-23",,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-24",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-25",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-26",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-27",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-28",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-29",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-06-30",,,,,"0.33",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-01",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-02",,,,,"0.28",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-03",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-05",,,,,"0.39",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-06",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-07",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-08",,,,,"0.04",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-09",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-10",,,,,"0.14",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-11",,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-12",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-14",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-15",,,,,"0.42",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-16",,,,,"0.41",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-17",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-18",,,,,"0.33",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-19",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-20",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-21",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-22",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-23",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-24",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-25",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-26",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-27",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-28",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-29",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-30",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-07-31",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-01",,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-02",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-03",,,,,"0.12",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-06",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-07",,,,,"0.08",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-08",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-09",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-10",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-11",,,,,"0.32",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-12",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-13",,,,,"0.11",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-14",,,,,"0.23",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-15",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-16",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-17",,,,,"0.08",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-18",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-19",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-20",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-21",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-22",,,,,"0.47",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-23",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-24",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-25",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-26",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-27",,,,,"0.04",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-28",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-29",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-30",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-08-31",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-01",,,,,"0.04",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-02",,,,,"0.18",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-03",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-06",,,,,"0.44",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-07",,,,,"0.04",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-08",,,,,"0.07",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-09",,,,,"0.07",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-10",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-11",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-12",,,,,"0.07",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-14",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-15",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-16",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-17",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-18",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-19",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-20",,,,,"0.33",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-21",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-22",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-23",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-24",,,,,"0.18",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-25",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-26",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-27",,,,,"0.05",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-28",,,,,"0.43",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-29",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-09-30",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-01",,,,,"1.50",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-02",,,,,"0.46",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-03",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-04",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-06",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-07",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-08",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-09",,,,,"0.24",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-10",,,,,"1.91",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-11",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-12",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-14",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-15",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-16",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-17",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-18",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-19",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-20",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-21",,,,,"0.10",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-22",,,,,"0.53",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-23",,,,,"0.11",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-24",,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-25",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-26",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-27",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-28",,,,,"0.76",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-29",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-30",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-10-31",,,,,"0.31",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-01",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-02",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-03",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-06",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-07",,,,,"0.07","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-08",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-09",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-10",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-11",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-12",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-14",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-15",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-16",,,,,"0.96",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-17",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-18",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-19",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-20",,,,,"0.07",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-21",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-22",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-23",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-24",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-25",,,,,"0.08",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-26",,,,,"0.08",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-27",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-28",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-29",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-11-30",,,,,"1.00",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-12-01",,,,,"0.52",,,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-12-02",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-12-03",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-12-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2016-12-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
